,station,date,prcp,tobs
2748,USC00513117,1/25/2010,0,68
9542,USC00519523,1/25/2010,0,65
12211,USC00519281,1/25/2010,0,65
14982,USC00511918,1/25/2010,0,68
16962,USC00516128,1/25/2010,0,65
23,USC00519397,1/26/2010,0.04,76
2749,USC00513117,1/26/2010,0,77
9024,USC00518838,1/26/2010,0.13,74
9543,USC00519523,1/26/2010,0.01,76
12212,USC00519281,1/26/2010,0.01,75
14983,USC00511918,1/26/2010,0.03,76
16963,USC00516128,1/26/2010,0.03,69
24,USC00519397,1/27/2010,0.12,68
2750,USC00513117,1/27/2010,0.12,71
9025,USC00518838,1/27/2010,0.21,70
9544,USC00519523,1/27/2010,0.28,69
12213,USC00519281,1/27/2010,0.31,69
14984,USC00511918,1/27/2010,0.25,69
16964,USC00516128,1/27/2010,0.31,65
25,USC00519397,1/28/2010,0,72
2751,USC00513117,1/28/2010,0.19,68
9026,USC00518838,1/28/2010,0.01,70
9545,USC00519523,1/28/2010,0.09,71
12214,USC00519281,1/28/2010,0.37,67
16965,USC00516128,1/28/2010,0.07,71
2752,USC00513117,1/29/2010,0.19,68
9546,USC00519523,1/29/2010,1.15,65
12215,USC00519281,1/29/2010,0.75,66
14985,USC00511918,1/29/2010,0,65
16966,USC00516128,1/29/2010,0.1,65
2753,USC00513117,1/30/2010,1.7,69
9547,USC00519523,1/30/2010,2.75,69
12216,USC00519281,1/30/2010,2.17,69
14986,USC00511918,1/30/2010,0.4,77
16967,USC00516128,1/30/2010,0.33,69
27,USC00519397,1/31/2010,0.03,67
2754,USC00513117,1/31/2010,0.28,73
9548,USC00519523,1/31/2010,0.05,72
12217,USC00519281,1/31/2010,0.69,72
14987,USC00511918,1/31/2010,0.01,71
16968,USC00516128,1/31/2010,1.1,74
28,USC00519397,2/1/2010,0.01,66
2755,USC00513117,2/1/2010,0.01,69
9549,USC00519523,2/1/2010,0,68
12218,USC00519281,2/1/2010,0.02,67
14988,USC00511918,2/1/2010,0,64
16969,USC00516128,2/1/2010,0.01,65
2756,USC00513117,2/2/2010,0,70
9550,USC00519523,2/2/2010,0,66
12219,USC00519281,2/2/2010,0,65
14989,USC00511918,2/2/2010,0,65
16970,USC00516128,2/2/2010,0.05,69
2757,USC00513117,2/3/2010,0.31,66
9028,USC00518838,2/3/2010,0.87,65
9551,USC00519523,2/3/2010,0.44,65
12220,USC00519281,2/3/2010,0.37,64
14990,USC00511918,2/3/2010,0.55,64
16971,USC00516128,2/3/2010,0.67,63
30,USC00519397,2/4/2010,0.01,69
2758,USC00513117,2/4/2010,0,69
9029,USC00518838,2/4/2010,0.01,66
9552,USC00519523,2/4/2010,0,68
12221,USC00519281,2/4/2010,0,67
14991,USC00511918,2/4/2010,0,64
16972,USC00516128,2/4/2010,0,70
31,USC00519397,2/5/2010,0,67
2759,USC00513117,2/5/2010,0,70
9030,USC00518838,2/5/2010,0.01,59
9553,USC00519523,2/5/2010,0.04,65
12222,USC00519281,2/5/2010,0.02,67
14992,USC00511918,2/5/2010,0,63
16973,USC00516128,2/5/2010,0.09,66
32,USC00519397,2/6/2010,0,67
2760,USC00513117,2/6/2010,0.06,66
9031,USC00518838,2/6/2010,0.02,73
9554,USC00519523,2/6/2010,0,76
12223,USC00519281,2/6/2010,0,68
14993,USC00511918,2/6/2010,0,67
16974,USC00516128,2/6/2010,0.04,62
33,USC00519397,2/7/2010,0,64
2761,USC00513117,2/7/2010,0,66
9032,USC00518838,2/7/2010,0.01,62
9555,USC00519523,2/7/2010,0,63
12224,USC00519281,2/7/2010,0,69
34,USC00519397,2/8/2010,0,69
2762,USC00513117,2/8/2010,0,71
9556,USC00519523,2/8/2010,0,71
12225,USC00519281,2/8/2010,0,66
14994,USC00511918,2/8/2010,0,60
16975,USC00516128,2/8/2010,0,69
35,USC00519397,2/9/2010,0,73
2763,USC00513117,2/9/2010,0,72
9033,USC00518838,2/9/2010,0,70
9557,USC00519523,2/9/2010,0,70
12226,USC00519281,2/9/2010,0,69
14995,USC00511918,2/9/2010,0,61
16976,USC00516128,2/9/2010,0,72
2764,USC00513117,2/10/2010,0,65
9034,USC00518838,2/10/2010,0,74
9558,USC00519523,2/10/2010,0,66
12227,USC00519281,2/10/2010,0,61
14996,USC00511918,2/10/2010,0,60
16977,USC00516128,2/10/2010,0,69
36,USC00519397,2/11/2010,0,73
9559,USC00519523,2/11/2010,0,71
12228,USC00519281,2/11/2010,0,71
14997,USC00511918,2/11/2010,0,70
16978,USC00516128,2/11/2010,0,69
37,USC00519397,2/12/2010,0.02,69
9560,USC00519523,2/12/2010,0.07,70
12229,USC00519281,2/12/2010,0.08,70
14998,USC00511918,2/12/2010,0,68
16979,USC00516128,2/12/2010,0.65,66
38,USC00519397,2/13/2010,0.01,69
9036,USC00518838,2/13/2010,0.06,67
9561,USC00519523,2/13/2010,0,71
12230,USC00519281,2/13/2010,0.06,70
14999,USC00511918,2/13/2010,0.03,67
16980,USC00516128,2/13/2010,0.62,70
39,USC00519397,2/14/2010,0,69
2766,USC00513117,2/14/2010,0,67
9037,USC00518838,2/14/2010,0.01,67
9562,USC00519523,2/14/2010,0,73
12231,USC00519281,2/14/2010,0,66
15000,USC00511918,2/14/2010,0,69
16981,USC00516128,2/14/2010,0.02,73
40,USC00519397,2/15/2010,0,71
2767,USC00513117,2/15/2010,0,72
9038,USC00518838,2/15/2010,0,70
9563,USC00519523,2/15/2010,0,73
12232,USC00519281,2/15/2010,0,71
15001,USC00511918,2/15/2010,0,72
16982,USC00516128,2/15/2010,0,73
41,USC00519397,2/16/2010,0,61
2768,USC00513117,2/16/2010,0,64
9039,USC00518838,2/16/2010,0,71
9564,USC00519523,2/16/2010,0,59
12233,USC00519281,2/16/2010,0,61
15002,USC00511918,2/16/2010,0,65
16983,USC00516128,2/16/2010,0,74
42,USC00519397,2/17/2010,0,69
2769,USC00513117,2/17/2010,0.02,69
9040,USC00518838,2/17/2010,0.01,65
9565,USC00519523,2/17/2010,0.01,68
12234,USC00519281,2/17/2010,0,68
15003,USC00511918,2/17/2010,0,66
16984,USC00516128,2/17/2010,0.02,69
2770,USC00513117,2/18/2010,0,68
9566,USC00519523,2/18/2010,0,67
12235,USC00519281,2/18/2010,0,67
15004,USC00511918,2/18/2010,0,63
16985,USC00516128,2/18/2010,0,65
2771,USC00513117,2/19/2010,0.05,63
9567,USC00519523,2/19/2010,0.2,63
12236,USC00519281,2/19/2010,0.02,62
15005,USC00511918,2/19/2010,0,62
16986,USC00516128,2/19/2010,0.42,60
44,USC00519397,2/20/2010,0.03,64
2772,USC00513117,2/20/2010,0.17,66
9042,USC00518838,2/20/2010,0.1,70
9568,USC00519523,2/20/2010,0.19,74
12237,USC00519281,2/20/2010,0.57,65
15006,USC00511918,2/20/2010,0,63
16987,USC00516128,2/20/2010,0.55,74
45,USC00519397,2/21/2010,0,65
2773,USC00513117,2/21/2010,0.04,66
9043,USC00518838,2/21/2010,0.01,68
9569,USC00519523,2/21/2010,0.16,66
12238,USC00519281,2/21/2010,0.01,69
15007,USC00511918,2/21/2010,0,68
46,USC00519397,2/22/2010,0,67
2774,USC00513117,2/22/2010,0.87,66
9570,USC00519523,2/22/2010,0.14,63
12239,USC00519281,2/22/2010,0.22,63
15008,USC00511918,2/22/2010,0,64
47,USC00519397,2/23/2010,0,68
2775,USC00513117,2/23/2010,0,65
