,station,date,prcp,tobs
12664,USC00519281,4/24/2011,0.02,77
15421,USC00511918,4/24/2011,0,77
17399,USC00516128,4/24/2011,0.04,71
434,USC00519397,4/25/2011,0,77
3200,USC00513117,4/25/2011,0,74
5815,USC00514830,4/25/2011,0,74
7837,USC00517948,4/25/2011,0,73
9306,USC00518838,4/25/2011,0,75
9992,USC00519523,4/25/2011,0,75
12665,USC00519281,4/25/2011,0,73
15422,USC00511918,4/25/2011,0,69
17400,USC00516128,4/25/2011,0.23,69
435,USC00519397,4/26/2011,0,76
3201,USC00513117,4/26/2011,0.12,73
5816,USC00514830,4/26/2011,0,74
7838,USC00517948,4/26/2011,0,76
9307,USC00518838,4/26/2011,0.1,74
9993,USC00519523,4/26/2011,0,77
12666,USC00519281,4/26/2011,0.15,69
15423,USC00511918,4/26/2011,0.03,68
17401,USC00516128,4/26/2011,0.46,71
436,USC00519397,4/27/2011,0,77
3202,USC00513117,4/27/2011,0.02,74
5817,USC00514830,4/27/2011,0.03,71
7839,USC00517948,4/27/2011,0.05,76
9308,USC00518838,4/27/2011,0.2,72
9994,USC00519523,4/27/2011,0,78
12667,USC00519281,4/27/2011,0.05,71
15424,USC00511918,4/27/2011,0,69
17402,USC00516128,4/27/2011,0.09,71
3203,USC00513117,4/28/2011,0.01,74
5818,USC00514830,4/28/2011,0,74
7840,USC00517948,4/28/2011,0,75
9309,USC00518838,4/28/2011,0.06,75
9995,USC00519523,4/28/2011,0,79
12668,USC00519281,4/28/2011,0,73
15425,USC00511918,4/28/2011,0,72
17403,USC00516128,4/28/2011,0.34,70
437,USC00519397,4/29/2011,0,78
3204,USC00513117,4/29/2011,0.13,72
5819,USC00514830,4/29/2011,0.34,72
9310,USC00518838,4/29/2011,0.02,74
9996,USC00519523,4/29/2011,0.07,75
12669,USC00519281,4/29/2011,0.06,69
15426,USC00511918,4/29/2011,0,78
17404,USC00516128,4/29/2011,0.9,71
438,USC00519397,4/30/2011,0.04,76
3205,USC00513117,4/30/2011,0.02,71
5820,USC00514830,4/30/2011,0.12,75
9997,USC00519523,4/30/2011,0,75
12670,USC00519281,4/30/2011,0.41,68
15427,USC00511918,4/30/2011,0.2,74
439,USC00519397,5/1/2011,0,77
3206,USC00513117,5/1/2011,0,74
9998,USC00519523,5/1/2011,0,75
12671,USC00519281,5/1/2011,0.03,71
15428,USC00511918,5/1/2011,0,76
17405,USC00516128,5/1/2011,1.21,72
440,USC00519397,5/2/2011,0,77
3207,USC00513117,5/2/2011,0.22,74
9999,USC00519523,5/2/2011,0,79
12672,USC00519281,5/2/2011,1.58,70
15429,USC00511918,5/2/2011,0,65
17406,USC00516128,5/2/2011,0.35,73
441,USC00519397,5/3/2011,2.1,70
3208,USC00513117,5/3/2011,0.42,71
5822,USC00514830,5/3/2011,0.64,71
9312,USC00518838,5/3/2011,0.53,71
10000,USC00519523,5/3/2011,1.03,73
12673,USC00519281,5/3/2011,0.4,69
15430,USC00511918,5/3/2011,0.76,69
17407,USC00516128,5/3/2011,3.05,70
442,USC00519397,5/4/2011,0.02,76
3209,USC00513117,5/4/2011,0.25,73
5823,USC00514830,5/4/2011,0.11,73
7843,USC00517948,5/4/2011,0.08,72
9313,USC00518838,5/4/2011,2.1,71
10001,USC00519523,5/4/2011,0.06,75
12674,USC00519281,5/4/2011,0.14,72
15431,USC00511918,5/4/2011,0.1,70
443,USC00519397,5/5/2011,0.12,74
3210,USC00513117,5/5/2011,0.15,72
5824,USC00514830,5/5/2011,0.08,71
7844,USC00517948,5/5/2011,0.06,73
9314,USC00518838,5/5/2011,0.52,72
10002,USC00519523,5/5/2011,0,74
12675,USC00519281,5/5/2011,0.16,71
15432,USC00511918,5/5/2011,0.02,71
17408,USC00516128,5/5/2011,0.34,70
444,USC00519397,5/6/2011,0.12,72
3211,USC00513117,5/6/2011,0.23,72
5825,USC00514830,5/6/2011,0.4,69
7845,USC00517948,5/6/2011,1.8,74
9315,USC00518838,5/6/2011,0.04,73
10003,USC00519523,5/6/2011,0.19,72
12676,USC00519281,5/6/2011,0.94,68
15433,USC00511918,5/6/2011,0.03,69
17409,USC00516128,5/6/2011,2.07,67
445,USC00519397,5/7/2011,0.55,74
3212,USC00513117,5/7/2011,0.86,72
5826,USC00514830,5/7/2011,0.99,70
10004,USC00519523,5/7/2011,0.2,74
12677,USC00519281,5/7/2011,1.5,70
15434,USC00511918,5/7/2011,0.6,72
17410,USC00516128,5/7/2011,1.91,67
446,USC00519397,5/8/2011,0.55,73
3213,USC00513117,5/8/2011,1.76,68
10005,USC00519523,5/8/2011,0.51,75
12678,USC00519281,5/8/2011,3.14,73
15435,USC00511918,5/8/2011,0.72,70
17411,USC00516128,5/8/2011,2.26,70
447,USC00519397,5/9/2011,0.02,75
3214,USC00513117,5/9/2011,0.73,74
10006,USC00519523,5/9/2011,0.1,75
12679,USC00519281,5/9/2011,1.18,73
15436,USC00511918,5/9/2011,0.53,70
17412,USC00516128,5/9/2011,0.31,73
448,USC00519397,5/10/2011,0.11,75
3215,USC00513117,5/10/2011,0.24,72
5828,USC00514830,5/10/2011,0.38,73
9317,USC00518838,5/10/2011,0.35,72
10007,USC00519523,5/10/2011,0.05,73
12680,USC00519281,5/10/2011,0.36,74
15437,USC00511918,5/10/2011,0.03,74
17413,USC00516128,5/10/2011,0.04,73
449,USC00519397,5/11/2011,0.1,75
3216,USC00513117,5/11/2011,0.92,71
5829,USC00514830,5/11/2011,0.01,73
9318,USC00518838,5/11/2011,0.1,73
10008,USC00519523,5/11/2011,0.15,71
12681,USC00519281,5/11/2011,1.33,72
15438,USC00511918,5/11/2011,0.01,70
17414,USC00516128,5/11/2011,0.74,72
450,USC00519397,5/12/2011,0,76
3217,USC00513117,5/12/2011,0.02,74
5830,USC00514830,5/12/2011,0,73
9319,USC00518838,5/12/2011,0.03,75
10009,USC00519523,5/12/2011,0.01,77
12682,USC00519281,5/12/2011,0.14,70
15439,USC00511918,5/12/2011,0.04,70
17415,USC00516128,5/12/2011,0.1,73
451,USC00519397,5/13/2011,0,77
3218,USC00513117,5/13/2011,0.01,74
5831,USC00514830,5/13/2011,0,73
10010,USC00519523,5/13/2011,0.01,75
12683,USC00519281,5/13/2011,0.02,74
15440,USC00511918,5/13/2011,0.03,71
17416,USC00516128,5/13/2011,0.29,71
452,USC00519397,5/14/2011,0,78
3219,USC00513117,5/14/2011,0,76
10011,USC00519523,5/14/2011,0,78
12684,USC00519281,5/14/2011,0,79
15441,USC00511918,5/14/2011,0,79
17417,USC00516128,5/14/2011,0.06,72
453,USC00519397,5/15/2011,0,77
3220,USC00513117,5/15/2011,0,73
10012,USC00519523,5/15/2011,0,75
12685,USC00519281,5/15/2011,0,75
15442,USC00511918,5/15/2011,0,78
17418,USC00516128,5/15/2011,0,72
454,USC00519397,5/16/2011,0,78
3221,USC00513117,5/16/2011,0.01,74
5832,USC00514830,5/16/2011,0,74
9320,USC00518838,5/16/2011,0,75
10013,USC00519523,5/16/2011,0,76
12686,USC00519281,5/16/2011,0,73
15443,USC00511918,5/16/2011,0,71
17419,USC00516128,5/16/2011,0.01,72
455,USC00519397,5/17/2011,0,77
3222,USC00513117,5/17/2011,0,73
5833,USC00514830,5/17/2011,0,73
9321,USC00518838,5/17/2011,0.01,77
10014,USC00519523,5/17/2011,0,76
12687,USC00519281,5/17/2011,0.05,68
15444,USC00511918,5/17/2011,0,68
17420,USC00516128,5/17/2011,0.03,70
456,USC00519397,5/18/2011,0,76
3223,USC00513117,5/18/2011,0.3,70
5834,USC00514830,5/18/2011,0.56,68
9322,USC00518838,5/18/2011,0.01,76
10015,USC00519523,5/18/2011,0,73
12688,USC00519281,5/18/2011,0.64,69
15445,USC00511918,5/18/2011,0,68
17421,USC00516128,5/18/2011,0.19,75
457,USC00519397,5/19/2011,0.01,77
3224,USC00513117,5/19/2011,0.01,71
5835,USC00514830,5/19/2011,0.02,74
9323,USC00518838,5/19/2011,0.02,75
10016,USC00519523,5/19/2011,0.01,78
12689,USC00519281,5/19/2011,0.11,67
15446,USC00511918,5/19/2011,0.03,66
17422,USC00516128,5/19/2011,0.15,70
458,USC00519397,5/20/2011,0,79
3225,USC00513117,5/20/2011,0.03,74
5836,USC00514830,5/20/2011,0,74
9324,USC00518838,5/20/2011,0,75
10017,USC00519523,5/20/2011,0,76
12690,USC00519281,5/20/2011,0.01,73
15447,USC00511918,5/20/2011,0,70
17423,USC00516128,5/20/2011,0,74
459,USC00519397,5/21/2011,0,77
3226,USC00513117,5/21/2011,0,75
10018,USC00519523,5/21/2011,0,79
12691,USC00519281,5/21/2011,0.09,72
15448,USC00511918,5/21/2011,0,77
17424,USC00516128,5/21/2011,0.01,71
460,USC00519397,5/22/2011,0.06,74
3227,USC00513117,5/22/2011,0.08,74
10019,USC00519523,5/22/2011,0.02,76
12692,USC00519281,5/22/2011,0.06,76
15449,USC00511918,5/22/2011,0,76
17425,USC00516128,5/22/2011,0.71,69
461,USC00519397,5/23/2011,0.02,78
3228,USC00513117,5/23/2011,0.06,74
5838,USC00514830,5/23/2011,0,74
7855,USC00517948,5/23/2011,0,77
10020,USC00519523,5/23/2011,0,76
12693,USC00519281,5/23/2011,0.1,72
15450,USC00511918,5/23/2011,0.01,75
17426,USC00516128,5/23/2011,0.17,72
462,USC00519397,5/24/2011,0,77
3229,USC00513117,5/24/2011,0,74
5839,USC00514830,5/24/2011,0,74
7856,USC00517948,5/24/2011,0,76
9326,USC00518838,5/24/2011,0.03,76
10021,USC00519523,5/24/2011,0,76
12694,USC00519281,5/24/2011,0,73
15451,USC00511918,5/24/2011,0,73
17427,USC00516128,5/24/2011,0.02,71
463,USC00519397,5/25/2011,0,79
3230,USC00513117,5/25/2011,0.02,74
5840,USC00514830,5/25/2011,0.01,73
7857,USC00517948,5/25/2011,0.01,76
9327,USC00518838,5/25/2011,0,74
10022,USC00519523,5/25/2011,0,75
12695,USC00519281,5/25/2011,0.01,72
15452,USC00511918,5/25/2011,0,75
17428,USC00516128,5/25/2011,0.09,71
464,USC00519397,5/26/2011,0,78
3231,USC00513117,5/26/2011,0,74
5841,USC00514830,5/26/2011,0.02,73
7858,USC00517948,5/26/2011,0,77
10023,USC00519523,5/26/2011,0,75
12696,USC00519281,5/26/2011,0.01,73
15453,USC00511918,5/26/2011,0,76
17429,USC00516128,5/26/2011,0,72
465,USC00519397,5/27/2011,0,78
3232,USC00513117,5/27/2011,0.03,74
5842,USC00514830,5/27/2011,0.09,74
7859,USC00517948,5/27/2011,0.01,78
10024,USC00519523,5/27/2011,0.1,76
12697,USC00519281,5/27/2011,0.23,73
15454,USC00511918,5/27/2011,0,77
17430,USC00516128,5/27/2011,0.09,71
466,USC00519397,5/28/2011,0,77
3233,USC00513117,5/28/2011,0.02,76
10025,USC00519523,5/28/2011,0.01,75
12698,USC00519281,5/28/2011,0.03,74
15455,USC00511918,5/28/2011,0,77
17431,USC00516128,5/28/2011,0.01,72
467,USC00519397,5/29/2011,0,78
3234,USC00513117,5/29/2011,0.1,76
10026,USC00519523,5/29/2011,0.03,75
12699,USC00519281,5/29/2011,0.08,78
15456,USC00511918,5/29/2011,0,77
17432,USC00516128,5/29/2011,0.17,70
468,USC00519397,5/30/2011,0,78
3235,USC00513117,5/30/2011,0,75
10027,USC00519523,5/30/2011,0.01,76
12700,USC00519281,5/30/2011,0.02,72
15457,USC00511918,5/30/2011,0,79
17433,USC00516128,5/30/2011,0.16,71
469,USC00519397,5/31/2011,0.05,73
3236,USC00513117,5/31/2011,0,74
5844,USC00514830,5/31/2011,0,74
7860,USC00517948,5/31/2011,0,75
10028,USC00519523,5/31/2011,0.08,76
12701,USC00519281,5/31/2011,0.01,72
15458,USC00511918,5/31/2011,0,73
17434,USC00516128,5/31/2011,0.15,70
470,USC00519397,6/1/2011,0.07,77
3237,USC00513117,6/1/2011,0.03,74
5845,USC00514830,6/1/2011,0.19,72
10029,USC00519523,6/1/2011,0.15,79
12702,USC00519281,6/1/2011,0.22,72
15459,USC00511918,6/1/2011,0.02,73
17435,USC00516128,6/1/2011,0.61,69
471,USC00519397,6/2/2011,0,78
3238,USC00513117,6/2/2011,0.08,75
5846,USC00514830,6/2/2011,0.04,73
7862,USC00517948,6/2/2011,0,77
10030,USC00519523,6/2/2011,0.01,76
12703,USC00519281,6/2/2011,0.42,73
15460,USC00511918,6/2/2011,0,76
17436,USC00516128,6/2/2011,0.22,72
472,USC00519397,6/3/2011,0.56,73
3239,USC00513117,6/3/2011,0.63,71
5847,USC00514830,6/3/2011,1.75,67
7863,USC00517948,6/3/2011,1.71,65
10031,USC00519523,6/3/2011,0.09,72
12704,USC00519281,6/3/2011,0.33,73
15461,USC00511918,6/3/2011,0.03,70
17437,USC00516128,6/3/2011,2,66
473,USC00519397,6/4/2011,0.89,70
3240,USC00513117,6/4/2011,4.43,69
5848,USC00514830,6/4/2011,1.14,69
10032,USC00519523,6/4/2011,0.51,71
15462,USC00511918,6/4/2011,0.58,71
17438,USC00516128,6/4/2011,2.45,67
474,USC00519397,6/5/2011,0,76
3241,USC00513117,6/5/2011,4.02,69
5849,USC00514830,6/5/2011,3.6,76
10033,USC00519523,6/5/2011,0.25,72
15463,USC00511918,6/5/2011,0.02,80
17439,USC00516128,6/5/2011,0.76,71
475,USC00519397,6/6/2011,0,77
3242,USC00513117,6/6/2011,0.02,74
5850,USC00514830,6/6/2011,0,73
7864,USC00517948,6/6/2011,0,76
10034,USC00519523,6/6/2011,0.03,76
15464,USC00511918,6/6/2011,0,70
17440,USC00516128,6/6/2011,0.1,71
476,USC00519397,6/7/2011,0,77
3243,USC00513117,6/7/2011,0.06,71
5851,USC00514830,6/7/2011,0.05,70
7865,USC00517948,6/7/2011,0,74
10035,USC00519523,6/7/2011,0.03,74
15465,USC00511918,6/7/2011,0,68
17441,USC00516128,6/7/2011,0.19,72
477,USC00519397,6/8/2011,0.03,77
3244,USC00513117,6/8/2011,0.04,74
5852,USC00514830,6/8/2011,0.17,72
7866,USC00517948,6/8/2011,0.05,76
10036,USC00519523,6/8/2011,0,75
12705,USC00519281,6/8/2011,0.03,77
15466,USC00511918,6/8/2011,0.1,74
17442,USC00516128,6/8/2011,0.23,72
478,USC00519397,6/9/2011,0.01,77
3245,USC00513117,6/9/2011,0.01,74
5853,USC00514830,6/9/2011,0,74
7867,USC00517948,6/9/2011,0,76
9329,USC00518838,6/9/2011,0.04,76
10037,USC00519523,6/9/2011,0,76
12706,USC00519281,6/9/2011,0.05,76
15467,USC00511918,6/9/2011,0,75
17443,USC00516128,6/9/2011,0.1,71
479,USC00519397,6/10/2011,0,78
3246,USC00513117,6/10/2011,0.02,75
5854,USC00514830,6/10/2011,0.02,72
10038,USC00519523,6/10/2011,0,77
12707,USC00519281,6/10/2011,0.03,79
15468,USC00511918,6/10/2011,0,75
17444,USC00516128,6/10/2011,0.11,71
480,USC00519397,6/11/2011,0,77
3247,USC00513117,6/11/2011,0.01,73
10039,USC00519523,6/11/2011,0,76
12708,USC00519281,6/11/2011,0.03,78
15469,USC00511918,6/11/2011,0,78
17445,USC00516128,6/11/2011,0.17,71
481,USC00519397,6/12/2011,0,77
3248,USC00513117,6/12/2011,0.12,73
10040,USC00519523,6/12/2011,0.09,75
12709,USC00519281,6/12/2011,0.32,82
15470,USC00511918,6/12/2011,0.02,76
17446,USC00516128,6/12/2011,1.5,69
482,USC00519397,6/13/2011,0,78
3249,USC00513117,6/13/2011,0.16,73
7868,USC00517948,6/13/2011,0,77
9331,USC00518838,6/13/2011,0.08,76
10041,USC00519523,6/13/2011,0,76
12710,USC00519281,6/13/2011,0.05,79
15471,USC00511918,6/13/2011,0,69
17447,USC00516128,6/13/2011,0.41,68
483,USC00519397,6/14/2011,0,78
3250,USC00513117,6/14/2011,0,75
5856,USC00514830,6/14/2011,0.02,75
7869,USC00517948,6/14/2011,0,77
9332,USC00518838,6/14/2011,0.09,73
10042,USC00519523,6/14/2011,0,76
12711,USC00519281,6/14/2011,0.16,76
15472,USC00511918,6/14/2011,0,73
17448,USC00516128,6/14/2011,0.14,71
484,USC00519397,6/15/2011,0,77
3251,USC00513117,6/15/2011,0,75
5857,USC00514830,6/15/2011,0,73
9333,USC00518838,6/15/2011,0.06,76
10043,USC00519523,6/15/2011,0,76
12712,USC00519281,6/15/2011,0,74
15473,USC00511918,6/15/2011,0,76
17449,USC00516128,6/15/2011,0.01,73
3252,USC00513117,6/16/2011,0.06,74
5858,USC00514830,6/16/2011,0.13,73
9334,USC00518838,6/16/2011,0.07,76
10044,USC00519523,6/16/2011,0.09,75
12713,USC00519281,6/16/2011,0.06,74
15474,USC00511918,6/16/2011,0.01,72
17450,USC00516128,6/16/2011,0.83,72
485,USC00519397,6/17/2011,0,78
3253,USC00513117,6/17/2011,0,74
5859,USC00514830,6/17/2011,0,72
10045,USC00519523,6/17/2011,0,76
12714,USC00519281,6/17/2011,0.03,73
15475,USC00511918,6/17/2011,0,72
17451,USC00516128,6/17/2011,0.18,74
486,USC00519397,6/18/2011,0,78
3254,USC00513117,6/18/2011,0.02,75
5860,USC00514830,6/18/2011,0,74
10046,USC00519523,6/18/2011,0,76
12715,USC00519281,6/18/2011,0.01,79
15476,USC00511918,6/18/2011,0,80
17452,USC00516128,6/18/2011,0.07,70
487,USC00519397,6/19/2011,0.05,75
3255,USC00513117,6/19/2011,0.09,74
5861,USC00514830,6/19/2011,0.12,76
10047,USC00519523,6/19/2011,0.17,79
12716,USC00519281,6/19/2011,0.14,77
15477,USC00511918,6/19/2011,0,76
17453,USC00516128,6/19/2011,1.84,72
488,USC00519397,6/20/2011,0.06,76
3256,USC00513117,6/20/2011,0.03,73
10048,USC00519523,6/20/2011,0.14,74
12717,USC00519281,6/20/2011,0.05,73
15478,USC00511918,6/20/2011,0.01,71
17454,USC00516128,6/20/2011,0.91,71
489,USC00519397,6/21/2011,0.07,76
3257,USC00513117,6/21/2011,0.54,72
7874,USC00517948,6/21/2011,0.25,74
9336,USC00518838,6/21/2011,0.05,75
10049,USC00519523,6/21/2011,0.38,73
12718,USC00519281,6/21/2011,0.57,72
15479,USC00511918,6/21/2011,0.03,68
17455,USC00516128,6/21/2011,1.03,71
3258,USC00513117,6/22/2011,0.22,74
5863,USC00514830,6/22/2011,0.2,74
7875,USC00517948,6/22/2011,0.08,76
9337,USC00518838,6/22/2011,0.82,77
10050,USC00519523,6/22/2011,0.17,75
12719,USC00519281,6/22/2011,0.61,72
15480,USC00511918,6/22/2011,0.1,71
17456,USC00516128,6/22/2011,1.65,70
3259,USC00513117,6/23/2011,0.03,72
5864,USC00514830,6/23/2011,0.09,70
7876,USC00517948,6/23/2011,0.22,73
10051,USC00519523,6/23/2011,0.05,74
12720,USC00519281,6/23/2011,0.06,73
15481,USC00511918,6/23/2011,0.01,72
17457,USC00516128,6/23/2011,0.68,70
3260,USC00513117,6/24/2011,0.21,75
5865,USC00514830,6/24/2011,0.17,74
7877,USC00517948,6/24/2011,0.1,75
10052,USC00519523,6/24/2011,0.03,75
12721,USC00519281,6/24/2011,0.81,74
15482,USC00511918,6/24/2011,0,75
17458,USC00516128,6/24/2011,1.16,69
491,USC00519397,6/25/2011,0,78
3261,USC00513117,6/25/2011,0,76
5866,USC00514830,6/25/2011,0.03,74
10053,USC00519523,6/25/2011,0,76
12722,USC00519281,6/25/2011,0.01,77
15483,USC00511918,6/25/2011,0,80
17459,USC00516128,6/25/2011,0.06,74
492,USC00519397,6/26/2011,0,76
3262,USC00513117,6/26/2011,0.04,74
10054,USC00519523,6/26/2011,0.12,72
12723,USC00519281,6/26/2011,0.11,73
15484,USC00511918,6/26/2011,0,75
17460,USC00516128,6/26/2011,0.29,69
493,USC00519397,6/27/2011,0.01,77
3263,USC00513117,6/27/2011,0.03,74
10055,USC00519523,6/27/2011,0.02,74
12724,USC00519281,6/27/2011,0.09,73
15485,USC00511918,6/27/2011,0,74
17461,USC00516128,6/27/2011,0.98,72
494,USC00519397,6/28/2011,0.01,75
3264,USC00513117,6/28/2011,0.1,74
5868,USC00514830,6/28/2011,0.12,71
10056,USC00519523,6/28/2011,0.02,74
12725,USC00519281,6/28/2011,0.12,72
15486,USC00511918,6/28/2011,0,74
17462,USC00516128,6/28/2011,0.25,70
495,USC00519397,6/29/2011,0,77
3265,USC00513117,6/29/2011,0,74
10057,USC00519523,6/29/2011,0,75
12726,USC00519281,6/29/2011,0.08,72
15487,USC00511918,6/29/2011,0,69
17463,USC00516128,6/29/2011,0.06,72
3266,USC00513117,6/30/2011,0,74
7881,USC00517948,6/30/2011,0,75
10058,USC00519523,6/30/2011,0,75
12727,USC00519281,6/30/2011,0.03,67
15488,USC00511918,6/30/2011,0,70
17464,USC00516128,6/30/2011,0,72
496,USC00519397,7/1/2011,0.05,77
3267,USC00513117,7/1/2011,0.09,74
5869,USC00514830,7/1/2011,0.01,74
7882,USC00517948,7/1/2011,0,75
10059,USC00519523,7/1/2011,0.01,81
12728,USC00519281,7/1/2011,0.02,72
15489,USC00511918,7/1/2011,0,68
17465,USC00516128,7/1/2011,0.15,70
497,USC00519397,7/2/2011,0.02,78
3268,USC00513117,7/2/2011,0,75
10060,USC00519523,7/2/2011,0.01,76
12729,USC00519281,7/2/2011,0.02,75
15490,USC00511918,7/2/2011,0.02,79
17466,USC00516128,7/2/2011,0.1,73
498,USC00519397,7/3/2011,0,78
3269,USC00513117,7/3/2011,0.04,76
10061,USC00519523,7/3/2011,0.12,76
12730,USC00519281,7/3/2011,0,76
15491,USC00511918,7/3/2011,0,77
17467,USC00516128,7/3/2011,0.31,71
499,USC00519397,7/4/2011,0,78
3270,USC00513117,7/4/2011,0,74
5871,USC00514830,7/4/2011,0.02,76
10062,USC00519523,7/4/2011,0.06,76
12731,USC00519281,7/4/2011,0.02,76
15492,USC00511918,7/4/2011,0,77
17468,USC00516128,7/4/2011,0.17,70
500,USC00519397,7/5/2011,0.01,78
3271,USC00513117,7/5/2011,0.03,74
5872,USC00514830,7/5/2011,0.14,73
10063,USC00519523,7/5/2011,0.04,75
12732,USC00519281,7/5/2011,0.06,77
15493,USC00511918,7/5/2011,0,70
17469,USC00516128,7/5/2011,0.24,71
501,USC00519397,7/6/2011,0.01,76
3272,USC00513117,7/6/2011,0.02,76
5873,USC00514830,7/6/2011,0,73
9338,USC00518838,7/6/2011,0.05,72
10064,USC00519523,7/6/2011,0.08,79
12733,USC00519281,7/6/2011,0.03,73
15494,USC00511918,7/6/2011,0,74
17470,USC00516128,7/6/2011,0.15,69
502,USC00519397,7/7/2011,0.01,76
3273,USC00513117,7/7/2011,0.07,73
5874,USC00514830,7/7/2011,0.06,73
9339,USC00518838,7/7/2011,0.74,73
10065,USC00519523,7/7/2011,0.06,73
12734,USC00519281,7/7/2011,0.15,72
15495,USC00511918,7/7/2011,0.03,71
503,USC00519397,7/8/2011,0,77
3274,USC00513117,7/8/2011,0.1,75
5875,USC00514830,7/8/2011,0.15,74
10066,USC00519523,7/8/2011,0.04,75
12735,USC00519281,7/8/2011,0.09,74
15496,USC00511918,7/8/2011,0,75
504,USC00519397,7/9/2011,0.03,77
3275,USC00513117,7/9/2011,0.05,75
5876,USC00514830,7/9/2011,0.07,74
10067,USC00519523,7/9/2011,0.01,79
12736,USC00519281,7/9/2011,0.05,79
15497,USC00511918,7/9/2011,0,76
505,USC00519397,7/10/2011,0.02,77
3276,USC00513117,7/10/2011,0.02,76
5877,USC00514830,7/10/2011,0.02,76
10068,USC00519523,7/10/2011,0.01,77
12737,USC00519281,7/10/2011,0.04,77
15498,USC00511918,7/10/2011,0.02,79
506,USC00519397,7/11/2011,0,78
3277,USC00513117,7/11/2011,0.01,74
10069,USC00519523,7/11/2011,0.01,76
12738,USC00519281,7/11/2011,0.08,71
15499,USC00511918,7/11/2011,0,71
17473,USC00516128,7/11/2011,0.12,70
507,USC00519397,7/12/2011,0,77
3278,USC00513117,7/12/2011,0,74
10070,USC00519523,7/12/2011,0,76
12739,USC00519281,7/12/2011,0.01,72
15500,USC00511918,7/12/2011,0,67
508,USC00519397,7/13/2011,0.15,73
3279,USC00513117,7/13/2011,0,74
5879,USC00514830,7/13/2011,0.03,75
10071,USC00519523,7/13/2011,0,74
12740,USC00519281,7/13/2011,0.01,73
15501,USC00511918,7/13/2011,0,72
509,USC00519397,7/14/2011,0,77
3280,USC00513117,7/14/2011,0.06,73
5880,USC00514830,7/14/2011,0.01,74
10072,USC00519523,7/14/2011,0,76
12741,USC00519281,7/14/2011,0.06,72
15502,USC00511918,7/14/2011,0,67
17475,USC00516128,7/14/2011,0.27,71
510,USC00519397,7/15/2011,0,79
3281,USC00513117,7/15/2011,0,75
5881,USC00514830,7/15/2011,0.13,76
10073,USC00519523,7/15/2011,0,76
12742,USC00519281,7/15/2011,0.22,72
15503,USC00511918,7/15/2011,0,76
17476,USC00516128,7/15/2011,0.4,70
511,USC00519397,7/16/2011,0,78
3282,USC00513117,7/16/2011,0,75
5882,USC00514830,7/16/2011,0.02,77
10074,USC00519523,7/16/2011,0,77
12743,USC00519281,7/16/2011,0.05,75
15504,USC00511918,7/16/2011,0,78
17477,USC00516128,7/16/2011,0.3,74
512,USC00519397,7/17/2011,0.04,77
3283,USC00513117,7/17/2011,0.15,75
10075,USC00519523,7/17/2011,0.06,78
12744,USC00519281,7/17/2011,0.17,77
15505,USC00511918,7/17/2011,0.02,79
17478,USC00516128,7/17/2011,0.66,74
513,USC00519397,7/18/2011,0,78
3284,USC00513117,7/18/2011,0.04,74
10076,USC00519523,7/18/2011,0,75
12745,USC00519281,7/18/2011,0.04,73
15506,USC00511918,7/18/2011,0,75
17479,USC00516128,7/18/2011,0.18,72
514,USC00519397,7/19/2011,0,78
3285,USC00513117,7/19/2011,0,74
5884,USC00514830,7/19/2011,0.01,75
10077,USC00519523,7/19/2011,0,75
12746,USC00519281,7/19/2011,0,73
15507,USC00511918,7/19/2011,0,73
17480,USC00516128,7/19/2011,0.1,76
515,USC00519397,7/20/2011,0,76
3286,USC00513117,7/20/2011,0.1,71
5885,USC00514830,7/20/2011,0.1,74
10078,USC00519523,7/20/2011,0.16,71
12747,USC00519281,7/20/2011,0.06,71
15508,USC00511918,7/20/2011,0,72
17481,USC00516128,7/20/2011,0.72,69
516,USC00519397,7/21/2011,0.03,77
3287,USC00513117,7/21/2011,0.04,75
5886,USC00514830,7/21/2011,0,76
10079,USC00519523,7/21/2011,0,77
12748,USC00519281,7/21/2011,0.28,73
15509,USC00511918,7/21/2011,0,75
17482,USC00516128,7/21/2011,0,73
3288,USC00513117,7/22/2011,0.08,74
5887,USC00514830,7/22/2011,0.07,75
10080,USC00519523,7/22/2011,0.09,75
12749,USC00519281,7/22/2011,0.12,74
15510,USC00511918,7/22/2011,0.01,74
17483,USC00516128,7/22/2011,1.34,70
517,USC00519397,7/23/2011,0,78
3289,USC00513117,7/23/2011,0,75
10081,USC00519523,7/23/2011,0.08,77
12750,USC00519281,7/23/2011,0.01,79
15511,USC00511918,7/23/2011,0,77
17484,USC00516128,7/23/2011,0.11,71
518,USC00519397,7/24/2011,0,77
3290,USC00513117,7/24/2011,0.1,70
10082,USC00519523,7/24/2011,0,74
12751,USC00519281,7/24/2011,0.02,77
15512,USC00511918,7/24/2011,0,78
17485,USC00516128,7/24/2011,0.3,72
519,USC00519397,7/25/2011,0,78
3291,USC00513117,7/25/2011,0.22,74
10083,USC00519523,7/25/2011,0.12,76
12752,USC00519281,7/25/2011,0.24,69
15513,USC00511918,7/25/2011,0,79
17486,USC00516128,7/25/2011,0.23,74
520,USC00519397,7/26/2011,0,78
3292,USC00513117,7/26/2011,0.01,74
5889,USC00514830,7/26/2011,0.01,73
7894,USC00517948,7/26/2011,0,77
10084,USC00519523,7/26/2011,0,76
12753,USC00519281,7/26/2011,0.02,73
